Özellik,Katsayı
activity_days,-0.725491527075086
n_days_after_onboarding,-0.4056079034243208
driving_days,-0.22889920637407826
duration_minutes_drives,0.1141536781470778
km_per_drive,0.10970570087420638
total_navigations_fav1,0.08934756949200073
total_fav_navigations,0.08667538053804708
drives,0.06654589241745316
minutes_per_drive,-0.05175083647314705
total_sessions,0.047694495104532546
sessions,0.04619083791064059
driven_km_drives,-0.041183904949681695
km_per_driving_day,0.02487005452983312
activity_driving_ratio,0.018030205108754273
drives_per_session,0.014609896575850538
device_encoded,0.011689631254290907
total_navigations_fav2,0.004174551440106684
